line,order,stationName,lat,lng,hasElevatorInstalled,hasLiftInstalled
S1107,21,신대방삼거리,37.499717,126.928218,true,false
S1107,22,장승배기,37.504845,126.939025,true,false
S1107,23,상도,37.50279,126.947949,true,false
S1107,24,숭실대입구(살피재),37.496258,126.953649,true,false
S1107,25,남성,37.484688,126.971108,true,false
S1107,26,이수,37.485258,126.981766,true,false
S1107,27,총신대입구(이수),37.485258,126.981766,true,false
S1107,28,내방,37.48764,126.993541,true,false
S1107,29,고속터미널,37.503387,127.005055,true,false
S1107,30,반포,37.508171,127.011717,true,false
S1107,31,논현,37.511108,127.021385,true,false
S1107,32,학동,37.514262,127.031738,true,false
S1107,33,강남구청,37.517185,127.04122,true,false
S1107,34,청담,37.519097,127.051851,true,false
S1107,35,자양(뚝섬한강공원),37.531558,127.066714,true,false
S1107,36,건대입구,37.540882,127.071103,true,false
S1107,37,어린이대공원(세종대),37.547962,127.07465,true,false
S1107,38,군자(능동),37.557151,127.079484,true,false
S1107,39,중곡,37.565877,127.084291,true,false
S1107,40,용마산(용마폭포공원),37.573752,127.086802,true,false
S1107,41,사가정,37.580912,127.088502,true,false
S1107,42,면목,37.588671,127.087503,true,false
S1107,43,상봉,37.595673,127.085708,true,false
S1107,44,중화,37.602604,127.079254,true,false
S1107,45,먹골,37.610638,127.077719,true,false
S1107,46,태릉입구,37.618519,127.075361,true,false
S1107,47,공릉(서울과학기술대),37.625642,127.072969,true,false
S1107,48,하계,37.636363,127.067999,true,false
S1107,49,중계,37.645052,127.064084,true,false
S1107,50,노원,37.654478,127.060555,true,false
S1107,51,마들,37.664985,127.057701,true,false
S1107,52,수락산,37.677804,127.055314,true,false
S1107,53,도봉산,37.689131,127.046548,true,false
S1107,54,장암,37.70015,127.053126,true,false
S1121,1,신설동,37.574653,127.025158,true,false
S1121,2,용두(동대문구청),37.574012,127.03811,true,false
S1121,3,신답,37.569847,127.047048,true,false
S1121,4,용답,37.562066,127.05087863,true,false
S1122,1,도림천,37.5145589,126.882586,true,false
S1122,2,양천구청,37.5123294,126.865593,true,false
S1122,3,신정네거리,37.520218,126.852849,true,false
S1109,1,개화,37.578591,126.797833,true,false
S1109,2,김포공항,37.562056,126.801633,true,false
S1109,3,공항시장,37.563726,126.810678,true,false
S1109,4,신방화,37.5675,126.816667,true,false
S1109,5,마곡나루(서울식물원),37.566717,126.8276071,true,false
S1109,6,양천향교,37.568333,126.841389,true,false
S1109,7,가양,37.561111,126.855078,true,false
S1109,8,증미,37.55785,126.861067,true,false
S1109,9,등촌,37.551111,126.864722,true,false
S1109,10,염창,37.546944,126.874722,true,false
S1109,11,신목동,37.544167,126.883056,true,false
S1109,12,선유도,37.537778,126.893889,true,false
S1109,13,당산,37.533844,126.902222,true,false
S1109,14,국회의사당,37.528105,126.917874,true,false
S1109,15,여의도,37.521744,126.924167,true,false
S1109,16,샛강,37.5173,126.9284,true,false
S1109,17,노량진,37.513667,126.940917,true,false
S1109,18,노들,37.512726,126.953096,true,false
S1109,19,흑석(중앙대입구),37.508889,126.963611,true,false
S1109,20,동작(현충원),37.502878,126.978278,true,false
S1109,21,구반포,37.501389,126.987222,true,false
S1109,22,신반포,37.5035033,126.996044,true,false
S1109,23,고속터미널,37.505933,127.004044,true,false
S1109,24,사평,37.504161,127.015219,true,false
S1109,25,신논현,37.504444,127.024417,true,false
S1109,26,언주,37.507287,127.033868,true,false
S1109,27,선정릉,37.51028,127.0437593,true,false
S1109,28,삼성중앙,37.513011,127.053282,true,false
S1109,29,봉은사,37.514219,127.060245,true,false
S1109,30,종합운동장,37.511156,127.076917,true,false
S1109,31,삼전,37.504531,127.087211,true,false
S1109,32,석촌고분,37.502439,127.096611,true,false
S1109,33,석촌,37.505078,127.106944,true,false
S1109,34,송파나루,37.51055,127.112451,true,false
S1109,35,한성백제,37.516369,127.116211,true,false
S1109,36,올림픽공원(한국체대),37.516111,127.130333,true,false
S1109,37,둔촌오륜,37.519339,127.138619,true,false
S1109,38,중앙보훈병원,37.528807,127.148488,true,false
L11UI,1,신설동,37.57659,127.023221,true,false
L11UI,2,보문,37.58551,127.01939,true,false
L11UI,3,성신여대입구,37.59247,127.01656,true,false
L11UI,4,정릉,37.60278,127.01345,true,false
L11UI,5,북한산보국문,37.61233,127.00816,true,false
L11UI,6,솔샘,37.62037,127.01357,true,false
L11UI,7,삼양사거리,37.62144,127.02049,true,false
L11UI,8,삼양,37.62706,127.01817,true,false
L11UI,9,화계,37.63428,127.0175,true,false
L11UI,10,가오리,37.64162,127.01681,true,false
L11UI,11,4.19민주묘지,37.64954,127.01371,true,false
L11UI,12,솔밭공원,37.65607,127.01326,true,false
L11UI,13,북한산우이,37.66284,127.01272,true,false
L41U1,1,탑석,37.73355362,127.0889064,true,false
L41U1,2,송산,37.7371698,127.0872755,true,false
L41U1,3,어룡,37.74272184,127.0852045,true,false
L41U1,4,곤제,37.75054343,127.0838651,true,false
L41U1,5,효자,37.75398452,127.0773155,true,false
L41U1,6,경기도청북부청사,37.75073213,127.0714795,true,false
L41U1,7,새말,37.74889941,127.063869,true,false
L41U1,8,동오,37.74519123,127.05703,true,false
L41U1,9,의정부중앙,37.74371903,127.0496332,true,false
L41U1,10,경전철의정부,37.73729974,127.043321,true,false
L41U1,11,흥선,37.74322487,127.0371765,true,false
L41U1,12,의정부시청,37.73924874,127.034854,true,false
L41U1,13,범골,37.7287279,127.0437202,true,false
L41U1,14,회룡,37.72505255,127.0467864,true,false
L41U1,15,발곡,37.726983,127.052889,true,false
S28M1,1,용유역,37.424805,126.423637,true,false
S28M1,2,워터파크역,37.429227,126.434183,true,false
S28M1,3,인천국제공항역,37.447222,126.4525,true,false
S28M1,4,장기주차장역,37.44385,126.455671,true,false
S28M1,5,합동청사역,37.440519,126.458654,true,false
S28M1,6,파라다이스시티역,37.437217,126.459858,true,false
S2801,1,검단호수공원,37.6025,126.688056,true,false
S2801,2,신검단중앙,37.6026,126.698611,true,false
S2801,3,"아라(북부법원, 검찰청)",37.592222,126.713333,true,false
S2801,4,계양,37.571539,126.736319,true,false
S2801,5,귤현,37.566362,126.742498,true,false
S2801,6,박촌,37.553525,126.744946,true,false
S2801,7,임학,37.545058,126.738642,true,false
S2801,8,계산,37.543243,126.728436,true,false
S2801,9,경인교대입구,37.538272,126.722603,true,false
S2801,10,작전,37.530271,126.722548,true,false
S2801,11,갈산,37.517124,126.721566,true,false
S2801,12,부평구청,37.508768,126.720547,true,false
S2801,13,부평시장,37.498495,126.722282,true,false
S2801,14,부평,37.490541,126.723437,true,false
S2801,15,동수,37.485409,126.718464,true,false
S2801,16,부평삼거리,37.478267,126.710494,true,false
S2801,17,간석오거리,37.466921,126.707861,true,false
S2801,18,인천시청,37.457615,126.702216,true,false
S2801,19,예술회관,37.449334,126.700991,true,false
S2801,20,인천터미널,37.441917,126.699727,true,false
S2801,21,문학경기장,37.434964,126.698373,true,false
S2801,22,선학,37.426985,126.698872,true,false
S2801,23,신연수,37.418032,126.693853,true,false
S2801,24,원인재,37.412364,126.687893,true,false
S2801,25,동춘,37.404676,126.680835,true,false
S2801,26,동막,37.398173,126.673561,true,false
S2801,27,캠퍼스타운,37.388209,126.661985,true,false
S2801,28,테크노파크,37.382311,126.656355,true,false
S2801,29,지식정보단지,37.378021,126.645412,true,false
S2801,30,인천대입구,37.386239,126.639351,true,false
S2801,31,센트럴파크,37.392833,126.635002,true,false
S2801,32,국제업무지구,37.400421,126.630105,true,false
S2801,33,송도달빛축제공원,37.40687495,126.6260537,true,false
S2802,1,운연,37.439533,126.759609,true,false
S2802,2,인천대공원,37.448475,126.753051,true,false
S2802,3,남동구청,37.448179,126.736581,true,false
S2802,4,만수,37.454962,126.731764,true,false
S2802,5,모래내시장,37.455842,126.719578,true,false
S2802,6,석천사거리,37.4569323,126.710383,true,false
S2802,7,인천시청,37.456904,126.701523,true,false
S2802,8,석바위시장,37.457659,126.692387,true,false
S2802,9,시민공원,37.458339,126.6810091,true,false
S2802,10,주안,37.465234,126.679041,true,false
S2802,11,주안국가산단,37.473599,126.681102,true,false
S2802,12,가재울,37.484152,126.683883,true,false
S2802,13,인천가좌,37.489962,126.675284,true,false
S2802,14,서부여성회관,37.500298,126.675875,true,false
S2802,15,석남(거북시장),37.507211,126.676304,true,false
S2802,16,가정중앙시장,37.517511,126.676784,true,false
S2802,17,가정(루원시티),37.524805,126.675387,true,false
S2802,18,서구청,37.543839,126.676795,true,false
S2802,19,아시아드경기장,37.551373,126.677075,true,false
S2802,20,검바위,37.561091,126.677529,true,false
S2802,21,검암,37.568611,126.675682,true,false
S2802,22,독정,37.584927,126.675981,true,false
S2802,23,완정,37.592867,126.672961,true,false
S2802,24,마전,37.597756,126.667195,true,false
S2802,25,검단사거리,37.601693,126.656545,true,false
S2802,26,왕길,37.5950191,126.642284,true,false
